Name of Person or Organization;Date of Gift;Value of Gift
22Q13DELET;05.07.2008;$2,000
92NDSTREET;06.10.2008;$2,000
A BETTER CHANCE;9/21/2007;$250
A BETTER CHANCE;09.05.2008;$250
A BETTER CHANCE OF WILTON, INC;07.02.2008;$50
A LITTLE HOPE FOUNDATION;12/19/2007;$2,000
ACADEMICS IN MOTION;10.03.2007;$400
ACADEMY OF FRIENDS;07.02.2008;$1,000
ACCELERATE BRAIN CANCER CURE INC;4/25/2008;$200
ACCION INTERNATIONAL;01.11.2008;$1,000
ACCION INTERNATIONAL;05.07.2008;$1,250
ACHILLES TRACK CLUB;12.04.2007;$50
ACHILLES TRACK CLUB;12.05.2007;$50
AGAWAM COUNCIL;05.07.2008;$100
AIDS FOUNDATION OF CHICAGO;11/15/2007;$250
AIDS FOUNDATION OF CHICAGO;12/19/2007;$50
AIDS FOUNDATION OF CHICAGO;02.04.2008;$50
AIDS FOUNDATION OF CHICAGO;09.05.2008;$150
AIDS PROJECT LOS ANGELES;10.05.2007;$100
AIDS PROJECT LOS ANGELES;12/19/2007;$100
AIDS WALK NY;7/16/2008;$200
AIDS WALK NY;7/23/2008;$50
AIDS WALK NY;09.05.2008;$300
AKIBA ACADEMY;3/17/2008;$500
ALARIA CHAMBER ENSEMBLE;10.05.2007;$100
ALARIA CHAMBER ENSEMBLE;10/24/2007;$150
ALARIA CHAMBER ENSEMBLE;07.02.2008;$100
ALBANY ACADEMY;12.04.2007;$1,000
ALBANY ACADEMY;01.11.2008;$1,000
ALBERT G. OLIVER PROGRAM;02.04.2008;$700
ALEX FOUNDATION;10.05.2007;$1,000
ALEXANDER ROBERTSON SCHOOL;07.02.2008;$200
ALI FORNEY CENTER;02.04.2008;$200
ALL INDIA MOVEMENT FOR SEVA;12.04.2007;$100
ALL SOULS SCHOOLS;02.04.2008;$250
ALL STARS PROJECT;10.05.2007;$4,125
ALLEGHANY COLLEGE;10.05.2007;$350
ALLEY CAT ALLIES;02.04.2008;$50
ALLEY CAT ALLIES;05.07.2008;$100
ALLIANCE FOR CHILDREN FOUNDATION;07.02.2008;$2,000
ALLIANCE FOR CHILDREN FOUNDATION;08.06.2008;$2,000
ALLIANCE FOR LUPUS RESEARCH INC;11/15/2007;$50
ALLIANCE FOR LUPUS RESEARCH INC;12/19/2007;$50
ALLIANCE FOR THE GREAT LAKES;03.03.2008;$250
ALPHA PHI DELTA FOUNDATION INC;01.10.2008;$2,000
ALPHA PHI DELTA FOUNDATION INC;03.03.2008;$2,000
ALPINE LEARNING GROUP INC;5/19/2008;$2,200
ALS ASSOCIATION;12/19/2007;$50
ALS ASSOCIATION;12/19/2007;$2,000
ALS ASSOCIATION;05.01.2008;$100
ALS ASSOCIATION;05.01.2008;$100
ALS ASSOCIATION;05.01.2008;$200
ALS ASSOCIATION GREATER NY CHP;12/19/2007;$200
ALS ASSOCIATION OF NORTH TEXAS;12/19/2007;$100
ALS ASSOCIATION OF NORTH TEXAS;01.10.2008;$2,005
ALS ASSOCIATION OF NORTH TEXAS;02.04.2008;$100
ALUMNAE ASSOC. OF MOUNT HOLYOKE COLLEGE;10/18/2007;$3,500
ALVIN AILEY;11/27/2007;$10,000
ALZHEIMER'S ASSOCIATION;12.10.2007;$100
ALZHEIMER'S ASSOCIATION;12/19/2007;$115
ALZHEIMER'S ASSOCIATION;02.04.2008;$500
ALZHEIMER'S ASSOCIATION;4/25/2008;$200
ALZHEIMER'S ASSOCIATION;05.01.2008;$100
ALZHEIMER'S ASSOCIATION;05.07.2008;$60
ALZHEIMER'S ASSOCIATION;06.10.2008;$700
ALZHEIMER'S ASSOCIATION;7/23/2008;$100
ALZHEIMER'S ASSOCIATION;09.05.2008;$250
AMANN ESTABROOK CONSERVATION ASSOCIATES;11/26/2007;$500
AMBASSADORS FOR CHRIST INC;5/20/2008;$100
AMERICAN CANCER SOCIETY;9/21/2007;$50
AMERICAN CANCER SOCIETY;9/21/2007;$100
AMERICAN CANCER SOCIETY;10.05.2007;$50
AMERICAN CANCER SOCIETY;10.05.2007;$50
AMERICAN CANCER SOCIETY;10.05.2007;$100
AMERICAN CANCER SOCIETY;10.05.2007;$100
AMERICAN CANCER SOCIETY;10.05.2007;$150
AMERICAN CANCER SOCIETY;10.12.2007;$50
AMERICAN CANCER SOCIETY;10.12.2007;$50
AMERICAN CANCER SOCIETY;10.12.2007;$125
AMERICAN CANCER SOCIETY;10/24/2007;$250
AMERICAN CANCER SOCIETY;10/24/2007;$1,015
AMERICAN CANCER SOCIETY;11/15/2007;$50
AMERICAN CANCER SOCIETY;11/15/2007;$100
AMERICAN CANCER SOCIETY;11/15/2007;$125
AMERICAN CANCER SOCIETY;12.05.2007;$200
AMERICAN CANCER SOCIETY;12.10.2007;$50
AMERICAN CANCER SOCIETY;12/19/2007;$50
AMERICAN CANCER SOCIETY;12/19/2007;$50
AMERICAN CANCER SOCIETY;12/19/2007;$100
AMERICAN CANCER SOCIETY;12/19/2007;$100
AMERICAN CANCER SOCIETY;12/19/2007;$125
AMERICAN CANCER SOCIETY;01.10.2008;$50
AMERICAN CANCER SOCIETY;02.04.2008;$200
AMERICAN CANCER SOCIETY;02.04.2008;$2,000
AMERICAN CANCER SOCIETY;3/17/2008;$100
AMERICAN CANCER SOCIETY;3/17/2008;$500
AMERICAN CANCER SOCIETY;05.01.2008;$50
AMERICAN CANCER SOCIETY;05.01.2008;$500
AMERICAN CANCER SOCIETY;05.07.2008;$100
AMERICAN CANCER SOCIETY;05.07.2008;$400
AMERICAN CANCER SOCIETY;05.07.2008;$500
AMERICAN CANCER SOCIETY;06.02.2008;$100
AMERICAN CANCER SOCIETY;06.10.2008;$50
AMERICAN CANCER SOCIETY;06.10.2008;$60
AMERICAN CANCER SOCIETY;06.10.2008;$200
AMERICAN CANCER SOCIETY;06.10.2008;$250
AMERICAN CANCER SOCIETY;7/16/2008;$50
AMERICAN CANCER SOCIETY;7/16/2008;$260
AMERICAN CANCER SOCIETY;7/23/2008;$50
AMERICAN CANCER SOCIETY;7/23/2008;$50
AMERICAN CANCER SOCIETY;7/23/2008;$50
AMERICAN CANCER SOCIETY;7/23/2008;$100
AMERICAN CANCER SOCIETY;7/23/2008;$100
