Datum;Euro;US$
01.01.2015;;155
01.01.2015;;82
01.01.2015;;248,25
01.01.2015;146,69;177,5
01.01.2015;317,33;383,99
01.01.2015;257,2;311,23
01.01.2015;195,35;236,38
01.01.2015;189,45;229,25
01.01.2015;413,2;500
01.01.2015;32,23;39
01.01.2015;50,41;61
01.01.2015;275,19;333
01.01.2015;28,92;35
01.01.2015;21,49;26
01.01.2015;30,58;37
01.01.2015;41,77;50,55
01.01.2015;20,9;25,29
01.01.2015;42,15;51
01.01.2015;28,92;35
01.01.2015;33,88;41
01.01.2015;32,23;39
01.01.2015;74,38;90
01.01.2015;33,05;39,99
01.01.2015;77,68;94
01.01.2015;167,34;202,49
01.01.2015;180,56;218,49
01.01.2015;167,34;202,49
01.01.2015;138,42;167,5
01.01.2015;53,71;64,99
01.01.2015;137,39;166,25
01.01.2015;433,86;525
01.01.2015;188,01;227,5
01.01.2015;285,11;345
01.01.2015;170,65;206,5
01.01.2015;28,92;34,99
01.01.2015;424,77;514
01.01.2016;45,11;49
01.01.2016;70,88;77
01.01.2016;460,27;499,99
01.01.2016;525,64;571
01.01.2016;368,21;399,99
01.01.2016;23,01;25
01.01.2016;25,78;28
01.01.2016;28,54;31
01.01.2016;36,82;40
01.01.2016;41,89;45,5
01.01.2016;41,89;45,5
01.01.2016;18,87;20,5
01.01.2016;187,33;203,5
01.01.2016;45,11;49
01.01.2016;30,38;33
01.01.2016;37,74;41
01.01.2016;41,43;45
01.01.2016;37,74;41
01.01.2016;36,82;40
01.01.2016;35,9;39
01.01.2016;35,9;39
01.01.2016;33,14;36
01.01.2016;33,14;36
01.01.2016;33,14;36
01.01.2016;33,14;36
01.01.2016;33,14;36
01.01.2016;33,14;36
01.01.2016;40,96;44,5
01.01.2017;68,24;72
01.01.2017;379,1;399,99
01.01.2017;66,33;69,99
01.01.2017;24,64;26
01.01.2017;66,34;70
01.01.2017;29,38;31
01.01.2017;30,33;32
01.01.2017;21,8;23
01.01.2017;24,88;26,25
01.01.2017;65,4;69
01.01.2017;88,14;93
01.01.2017;658,7;695
01.01.2017;21,32;22,5
01.01.2017;47,38;49,99
01.01.2017;47,38;49,99
01.01.2017;37,9;39,99
01.01.2017;127,46;134,49
01.01.2017;114,2;120,49
01.01.2017;79,61;84
01.01.2017;84,35;89
01.01.2017;131,27;138,5
01.01.2017;56,82;59,95
01.01.2017;56,82;59,95
01.01.2017;68,24;72
01.01.2017;56,82;59,95
01.01.2017;155,68;164,26
01.01.2017;57,01;60,15
01.01.2017;191,11;201,64
01.01.2017;32,95;34,77
01.01.2017;139,8;147,5
01.01.2017;180,08;190
01.01.2017;154;162,49
01.01.2017;48,57;51,25
01.01.2017;68,24;72
01.01.2017;34,56;36,47
01.01.2017;162,19;171,13
01.01.2017;39,45;41,62
01.01.2017;24,64;26
01.01.2017;74,16;78,25
01.01.2017;19,96;21,06
01.01.2017;57,18;60,33
01.01.2017;12,31;12,99
01.01.2017;33,16;34,99
01.01.2017;38,88;41,02
01.01.2017;42,65;45
01.01.2017;48,34;51
01.01.2017;80,56;85
01.01.2017;162,54;171,5
01.01.2017;170,83;180,25
01.01.2017;232,3;245,1
01.01.2017;36,96;39
01.01.2017;42,65;45
01.01.2018;85,45;102,61
01.01.2018;254,83;306
01.01.2018;1.186,71;1.425,00
01.01.2018;171,54;205,99
01.01.2018;154,48;185,5
01.01.2018;172,8;207,5
01.01.2018;172,8;207,5
01.01.2018;25,82;31
01.01.2018;32,48;39
01.01.2018;33,31;40
01.01.2018;37,47;45
01.01.2018;29,98;36
01.01.2018;19,57;23,5
01.01.2018;41,64;50
01.01.2018;156,15;187,5
01.01.2018;41,63;49,99
01.01.2018;426,12;511,69
01.01.2018;416,39;500
01.01.2018;44,55;53,5
01.01.2018;333,1;399,99
01.01.2018;247,33;297
01.01.2018;216,11;259,5
01.01.2018;102,85;123,5
01.01.2019;44,61;51
01.01.2019;481,13;550
01.01.2019;86,56;98,95
01.01.2019;30,62;35
01.01.2019;26,23;29,99
01.01.2019;19,25;22
01.01.2019;27,99;32
01.01.2019;26,23;29,99
01.01.2019;32,37;37
01.01.2019;57,74;66
01.01.2019;65,61;75
01.01.2019;19,25;22
01.01.2019;87,46;99,98
01.01.2019;28,87;33
01.01.2019;26,23;29,99
01.01.2019;27,99;32
01.01.2019;34,99;40
01.01.2019;78,72;89,99
01.01.2019;88,34;100,99
01.01.2019;91,41;104,5
01.01.2019;69,94;79,95
01.01.2019;267,77;306,1
01.01.2019;101,49;116,02
01.02.2016;124,13;135,22
01.02.2016;103,97;112,5
01.02.2016;113,21;122,5
01.02.2016;52,22;56,51
01.02.2016;26,8;29
01.02.2016;36,96;39,99
01.02.2016;21,71;23,49
01.02.2016;18,47;19,99
01.02.2016;32,13;35
01.02.2016;80,63;87,25
01.02.2016;46,2;49,99
01.02.2016;58,21;62,99
01.02.2016;46,67;50,5
01.02.2016;41,59;45
01.02.2016;52,22;56,51
01.02.2016;36,96;39,99
01.02.2016;27,72;29,99
